Accession,3-hydroxypropyl,3-methylsulfinylpropyl,Unknown Alkenyl,(S)2-hydroxy-but-3-enyl,(R)2-hydroxy-but-3-enyl,4-methylsulfinylbutyl,Allyl,5-methylsulfinylpentyl,But-3-enyl,3-methylthiopropyl,7-methylsulfinylheptyl,Pent-4-enyl ,4-methylthiobutyl ,8-methylsulfinyloctyl ,Indol-3-ylmethyl ,4-methoxy-indol-3-ylmethyl ,N-methoxy-indol-3-ylmethyl ,7-methylthioheptyl ,8-methylthiooctyl ,Total C3 Aliphatic ,Total C4 Aliphatic,Total C5 Aliphatic,Total C7 Aliphatic,Total C8 Aliphatic,Total C3 and C4 Aliphatic,Total C7 and C8 Aliphatic ,Total Alkenyl Aliphatic,Total Methylsulfinyl Aliphatic,Total Hydroxyalkyl Aliphatic,Total Hydroxyalkenyl Aliphatic ,Ratio of C3 to SC Aliphatic,Ratio of C7 to LC Aliphatic,Ratio of C3 methylthio to total C3,Ratio of C4 methylthio to total C4,Ratio of C7 methylthio to total C7,Ratio of C8 methylthio to total C8,Total Indolic Glucosinolate,Total Indolic Glucosinolate with 4 hydroxylation,Ratio of TOH4 to TIND,Ratio of NMOI3M to TIND,4-hydroxybutyl (2007),5-methylthiopentyl (2007),4-hydroxy-indol-3-ylmethyl (2008)
Knox-18,0,0,0,0,0,0,10.45579043,0.045745539,0,0,0,0,0,0.98600581,0.749606814,0.241853938,0.020458501,0.021700191,0.615742015,10.45579043,0,0.045745539,0.021700191,1.601747825,10.45579043,1.623448016,10.45579043,1.031751349,0,0,1,0.01256945,0,0,1,0.386583825,1.011919253,0.241853938,0.229662623,0.207386886,0,0,0
Kondara,0,0.025653389,0,0,0,0,21.76605123,0,0.257157924,0,0,0,0,1.647747088,1.025954524,0.244377519,0.025485771,0,0.441945851,21.79170462,0.257157924,0,0,2.089692938,22.04886254,2.089692938,22.02320915,1.673400477,0,0,0.988583089,0,0,0,0,0.214746772,1.295817813,0.244377519,0.187729384,0.155901081,0,0,0
Kz-1,0,0.050376159,0,0,0,0,10.15022037,0,0.209364654,0.022164933,0.018408011,0,0,1.371365951,0.400674452,0.190337836,0.017264119,0.060669959,0.6822116,10.22276146,0.209364654,0.029718671,0.07907797,2.053577551,10.43212611,2.132655522,10.35958502,1.440150121,0,0,0.981169548,0.042057584,0.002635827,0,0.835114873,0.33994073,0.608276407,0.190337836,0.31493997,0.202572259,0,0.059437343,0
Kz-9,0.007600461,0.029465123,0,0,0,0,6.028571529,0,0.019958603,0,0,0,0,0.68867313,0.405677567,0.108480606,0.016891784,0,0.31067316,6.065637114,0.019958603,0.023134542,0,0.99934629,6.085595716,0.99934629,6.048530132,0.718138254,0.007600461,0,0.99676388,0,0,0,0,0.311412023,0.531049958,0.108480606,0.205066324,0.173432148,0,0.046269083,0
Ler-1,7.475355229,0.030340056,0,0,0,0.020106535,0,0,0.020385675,0.013164764,0.018308629,0.022789221,0,0.772019814,1.031873598,0.220042682,0.035801047,0,0.36931699,7.518860049,0.088013544,0,0.018308629,1.141336804,7.606873594,1.159645433,0.020385675,0.840775035,7.522876563,0,0.990661248,0.010891256,0.001423445,0,0,0.327182915,1.287717327,0.220042682,0.169734523,0.21826694,0.095042668,0,0
Ll-0,0,0,0,0,0,0.602976392,0,0,0,0.039859126,0.023399795,0,1.487450083,0.769838153,0.559027642,0.194189674,0,0.023086195,0.335483751,0.039859126,2.090426475,0,0.04648599,1.105321904,2.130285601,1.151807894,0,1.396214339,0,0,0.019875765,0.041509221,0.5,6.272447902,0.24831347,0.303995982,0.753217316,0.194189674,0.269166389,0.110134552,0,0,0
Lov-1,0,0.01446213,0,0,0,0,10.66165593,0,0.104589079,0,0.058601106,0,0,1.013368404,0.481879423,0.168127502,0.011698126,0.008197078,0.576261864,10.67611806,0.104589079,0.020257892,0.066798185,1.589630268,10.78070714,1.656428452,10.76624501,1.08643164,0,0,0.990456021,0.035709614,0,0,0.5,0.36271575,0.672092646,0.178515098,0.266516503,0.166621495,0,0.040515783,0.020775192
Lov-5,0,0.063278577,0,0,0,0,12.13599103,0.001432151,0.14966293,0.078877538,0,0,0,1.322953814,0.476814014,0.191839184,0.037618779,0.04139712,0.698382603,12.27814715,0.14966293,0.001432151,0.04139712,2.021336417,12.42781008,2.062733537,12.28565396,1.387664542,0,0,0.988830702,0.020372469,0.005487433,0,1,0.345629769,0.713341648,0.198908855,0.279459068,0.325504567,0,0,0.014139342
Lp2-2,7.166832262,0.374510513,0,0,0,0.062248754,0,0,0,0,0.100540871,0,0,0.961182728,1.410759415,0.139240567,0.013023263,0.010840391,0.246854367,7.541342775,0.062248754,0,0.111381262,1.208037095,7.603591529,1.319418357,0,1.498482866,7.166832262,0,0.989959641,0.081823929,0,0,0.511577068,0.205614544,1.566614812,0.142832134,0.095509877,0.065558411,0,0,0.007183133
Lp2-6,10.50287538,0.294765636,0,0,0,0.072767125,0,0.050557089,0,0.021281963,0,0,0,0.730521054,0.824078063,0.309392054,0.015970539,0,0.324638089,10.81892298,0.072767125,0.068509545,0,1.055159143,10.89169011,1.055159143,0,1.148610904,10.50287538,0,0.991452487,0,0.002543342,0,0,0.309711988,1.149440657,0.309392054,0.265108031,0.164983947,0,0.035904912,0
Lz-0,12.91643107,0.064853449,0,0,0,0,0.094232235,0,0.014834881,0.01256847,0,0,0,0.994694161,1.963879628,0.356560329,0.025935373,0.10805978,0.808383774,13.08808522,0.014834881,0.033940494,0.10805978,1.803077935,13.1029201,1.911137715,0.109067116,1.05954761,12.91643107,0,0.998530934,0.059915215,0.001248296,0,1,0.448726414,2.34637533,0.356560329,0.151448878,0.121356757,0,0.067880988,0
Mr-0,0,0.03832189,0,0,0.079093002,0,14.34428665,0,0.334325776,0,0.009104577,0,0,2.531589124,0.399105672,0.278613184,0.006423163,0.023407879,0.637535892,14.38260854,0.413418778,0,0.032512456,3.169125017,14.79602732,3.201637473,14.75770543,2.579015591,0,0.079093002,0.971396092,0.009489968,0,0,0.838320365,0.202590466,0.684142019,0.278613184,0.408348168,0.211981817,0,0,0
Mrk-0,0.066453539,0,0,0,0,0,13.362752,0.094983358,0.025776472,0,0,0,0,1.923583231,1.497320134,0.144365203,0.002833532,0,0.444112573,13.42920554,0.025776472,0.094983358,0,2.367695804,13.45498201,2.367695804,13.38852847,2.018566588,0.066453539,0,0.998406965,0,0,0,0,0.187888111,1.644518868,0.144365203,0.089569914,0.039329146,0,0,0
Ms-0,0,0,0,0,0,0,9.765147939,0,0.06414185,0,0.01657518,0,0,1.591112853,1.044720499,0.249733127,0.019479687,0.009733371,0.427577916,9.765147939,0.06414185,0,0.026308551,2.018690769,9.82928979,2.044999321,9.82928979,1.607688033,0,0,0.994950644,0.010569684,0,0,0.184984928,0.214370458,1.313933313,0.249733127,0.189653866,0.126225534,0,0,0
Mt-0,0,0.099254188,0,0,0,1.391142172,0,0,0,0.06979755,0.014217059,0,0.372047397,0.857393786,1.046997513,0.346174064,0.017654065,0,0.224541519,0.169051738,1.763189569,0,0.014217059,1.081935304,1.932241307,1.096152363,0,2.362007205,0,0,0.081279591,0.00841761,0.251509975,0.109567436,0,0.20210479,1.427590017,0.362938439,0.24673469,0.187023491,0,0,0.03352875
Mz-0,0.155854748,0.831368405,0,0,0,4.034513202,0,0.273796373,0.003596627,0.158496732,0,0,0.930318504,0.846848698,0.649032759,0.356168722,0.005549699,0.004359329,0.356962598,1.145719885,4.968428333,0.273796373,0.004359329,1.203811296,6.114148219,1.208170625,0.003596627,5.986526678,0.155854748,0,0.181281138,0.002815532,0.099645952,9.69333083,0.5,0.288209462,1.022381306,0.367798849,0.355905656,0.152567103,0,0,0.023260254
Nd-1,9.173168949,0.178342094,0,0,0,0.016309581,0.079853757,0,0.019066168,0,0,0.018005406,0,0.403406359,1.156100206,0.05073804,0.01021548,0.024365259,0.160523697,9.4313648,0.035375749,0,0.024365259,0.563930055,9.466740549,0.588295315,0.098919925,0.598058033,9.173168949,0,0.997122394,0.024393426,0,0,0.5,0.2203942,1.217053726,0.05073804,0.040079322,0.161490563,0,0,0
NFA-10,0,0,0.199288641,2.3079259,7.546025392,0,1.699247843,0.022336818,3.285740029,0,0.248771422,0.384415106,0,1.496708948,0.860911206,0.15958515,0.01420743,0.223147953,0.465061034,1.699247843,13.13969132,0.051443545,0.471919375,1.961769982,14.83893916,2.433689357,15.03822781,1.767817188,0,9.853951292,0.114339723,0.216016122,0,0,0.44030989,0.235016437,1.034703787,0.15958515,0.156775892,0.102781892,0,0.058213454,0
NFA-8,0.004594295,0.071530084,0.099925158,2.18022484,7.069786642,0,1.675450326,0.032895316,4.496985149,0,0.220455329,0.616102902,0,1.655136666,0.984288988,0.279180877,0.016481185,0.117648497,0.369681745,1.751574704,13.74699663,0.067962776,0.338103826,2.024818411,15.49857134,2.362922237,15.52237211,1.980017395,0.004594295,9.250011482,0.11507239,0.167173049,0,0,0.348263858,0.182692969,1.27995105,0.279180877,0.219307771,0.15984094,0,0.070134919,0
